Identifier,Id
I:FNC,1
I:WIG,2
I:INNO,3
I:ENT,4
I:ECK,5
I:ELAB,6
I:PLTE,7
I:BRE,8
I:IMS,9
I:PIAG,10
I:LRZ,11
I:PINF,12
I:SO,13
I:FCA,14
I:PC,15
I:PIRC,16
U:RACE,17
I:EMC,18
I:CPR,19
I:IWB,20
I:MZB,21
I:MASI,22
I:ISG,23
I:SOL,24
I:BIOO,25
I:AST,26
I:PAN,27
I:CALT,28
I:BOE,29
I:TFI,30
I:VE,31
I:VIN,32
I:RIC,33
I:ITCF,34
I:CEM,35
I:BZU,36
I:ITM,37
I:IPG,38
I:ARN,39
I:FKR,40
I:KRE,41
I:ENEL,42
I:TRN,43
I:ECA,44
I:TER,45
I:ACE,46
I:A2A,47
I:EGPW,48
I:FDE,49
I:IEBA,50
I:TEW,51
I:ELIN,52
I:SG,53
I:ELN,54
I:DAL,55
I:PRI,56
I:NICE,57
I:PRY,58
I:CMB,59
I:BE,60
I:CEC,61
I:IRC,62
I:LIT,63
I:TIT,64
I:MARR,65
I:IVS,66
I:CLT,67
I:BIE,68
I:PAT,69
I:VAL,70
I:ENV,71
I:LD,72
I:BF,73
I:BFG,74
I:KI,75
I:SRG,76
I:IRE,77
I:HER,78
I:ACS,79
I:ASCO,80
I:EDNR,81
I:GALA,82
I:ZIG,83
I:COF,84
I:RM,85
I:CIR,86
I:DMA,87
I:CHL,88
I:DMN,89
I:YOOX,90
I:SB,91
I:GGPR,92
I:MP7I,93
I:BANZ,94
I:AMP,95
I:CC,96
I:EUK,97
I:DIA,98
I:TBS,99
I:DLG,100
I:CALE,101
I:ELIC,102
I:BIA,103
I:PIQD,104
I:ROS,105
I:EM,106
I:ZUC,107
I:FILA,108
I:MSK,109
I:SII,110
I:BOR,111
I:IMA,112
I:BSS,113
I:FD,114
I:BZI,115
I:SAB,116
I:TES,117
I:CARR,118
I:IP,119
I:FCTI,120
I:CNHI,121
I:DAN,122
I:MBRB,123
I:CLA,124
I:LUVE,125
I:IKG,126
I:AUME,127
I:SIS,128
I:SAVE,129
I:ANSA,130
I:TYA,131
I:ATL,132
I:PR,133
I:AT,134
I:ADB,135
I:DIB,136
I:BCS,137
I:PG,138
I:MTV,139
I:MCH,140
I:CED,141
I:CAI,142
I:MON,143
I:ILSO,144
I:POPR,145
I:CLE,146
I:MN,147
I:POL,148
I:ES,149
I:MS,150
I:TBMA,151
I:MTF,152
I:RCS,153
I:NPIS,154
I:LMGP,155
I:RWAY,156
I:AXEL,157
I:CALD,158
I:MSU,159
I:GIGL,160
I:DIGI,161
I:GAMB,162
I:BLUE,163
I:ACO,164
I:MOBY,165
I:INW,166
I:SARA,167
I:GASP,168
I:ENI,169
I:ERG,170
I:MT,171
I:ROMS,172
I:SPM,173
I:LUX,174
I:TOD,175
I:BAN,176
I:GEO,177
I:SAFI,178
I:RAT,179
I:AEF,180
F:FED,181
I:STEF,182
I:SFER,183
I:CRE,184
I:BC,185
I:CSP,186
I:IIG,187
I:MONC,188
I:OVIE,189
I:COV,190
I:PIER,191
S:NWRN,192
I:MLM,193
I:REC,194
I:BIO2,195
I:REY,196
I:ENG,197
I:BET,198
I:CAD,199
I:TIS,200
I:DA,201
I:TXT,202
I:TAS,203
I:FUL,204
I:AISW,205
I:NOEM,206
I:BEST,207
I:NRST,208
I:SES,209
I:YSFT,210
I:PRM,211
I:EXSY,212
I:MCK,213
I:MAIL,214
I:TVAL,215
I:GOIT,216
I:PITE,217
I:FM,218
I:PSF,219
I:BNCM,220
I:SERV,221
I:WMCI,222
I:ESCO,223
F:MLAZ,224
I:CDR,225
I:ATH,226
I:CERV,227
I:B,228
I:BOMI,229
I:OJM,230
I:ITW,231
I:PRT,232
I:EIT,233
I:EURO,234
I:EEMS,235
I:OLI,236
I:JUVE,237
I:ASR,238
I:FNM,239
I:SSL,240
I:IGV,241
I:AGL,242
I:BLU,243
I:SNA,244
I:BSTA,245
I:PST,246
I:CRL,247
I:CNF,248
I:DEA,249
I:EQUI,250
I:GHC,251
I:GIMA,252
I:GPI,253
I:MOL,254
I:LVEN,255
I:PVN,256
I:TGYM,257
I:WIIT,258
I:ECNL,259
I:GCL,260
I:LFG,261
I:ENAV,262
I:IOL,263
I:BMED,264
I:FARM,265
I:ASSI,266
I:EXO,267
I:FPE,268
I:IG,269
I:4AIM,270
I:VTY,271
I:SCM,272
I:DHH,273
I:CRES,274
I:SMR,275
I:ABT,276
I:SITI,277
I:ILLA,278
I:GEL,279
I:DBA,280
I:GAME,281
I:ALK,282
I:PSA,283
I:NDT,284
I:ABTG,285
I:SIT,286
I:PHN,287
I:CULT,288
I:DOB,289
I:DIG,290
I:FNL,291
I:INDB,292
I:AVIO,293
I:BFF,294
I:UNIR,295
I:TPS,296
I:TLS,297
I:ORS,298
I:HI,299
I:BAMI,300
I:KIP,301
I:FVI,302
I:SOM,303
I:ICF,304
I:GRAL,305
CELL,306
I:LON,307
I:ESAU,308
I:EVA,309
I:MNL,310
I:POR,311
I:ITD,312
I:SGC,313
I:CFT,314
I:SOS,315
I:VIM,316
I:SCK,317
I:REN,318
I:FF,319
I:CIRC,320
I:DGV,321
I:EDAC,322
I:PWS,323
I:EDGE,324
I:AED,325
